mediaName,Description
yahoo,台灣流量最高的入口網站<a href = "https://tw.news.yahoo.com" class = "media-link" target = "_blank">Yahoo奇摩</a>，匯集中時、自由、聯合新聞網、TVBS等各主要媒體的新聞內容，在測試期間無一例外地遭防火長城封鎖。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
cna,歷史悠久、具有官方色彩的<a href = "http://www.cna.com.tw" target = "_blank">中央通訊社</a>，以高達99%的比率被封鎖。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
newtalk,<a href = "http://newtalk.tw" class = "media-link" target = "_blank">新頭殼</a>在測試期間，只有1天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
ltn,<a href = "http://www.ltn.com.tw" class = "media-link" target = "_blank">自由時報</a>網站在測試期間，只在1月的部分時候能夠連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
appledaily,<a href = "http://www.appledaily.com.tw" class = "media-link" target = "_blank">蘋果日報</a>網站在測試期間，只有2天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
tvbs,電視頻道<a href = "http://news.tvbs.com.tw" class = "media-link" target = "_blank">TVBS</a>網站的新聞入口，有高達91%的比率被封鎖。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
stormmedia,網路媒體<a href = "http://www.stormmediagroup.com" class = "media-link" target = "_blank">風傳媒</a>，有高達87%的比率被封鎖。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
nextmag,<a href = "http://www.nextmag.com.tw/zh" class = "media-link" target = "_blank">台灣壹週刊</a>網站在測試期間，只有1天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
udn,<a href = "http://udn.com/news/index" class = "media-link" target = "_blank">聯合新聞網</a>的測試結果顯示為「封鎖」達67%，其他都是「部分封鎖」，無任何一天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
ettoday,<a href = "http://www.ettoday.net" class = "media-link" target = "_blank">東森新聞雲</a>的測試結果中，有1天顯示為「封鎖」，3月份共有6天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
bsweekly,<a href = "http://www.businessweekly.com.tw" class = "media-link" target = "_blank">商業周刊</a>網站在測試期間，共有4天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
nownews,<a href = "http://www.nownews.com" class = "media-link" target = "_blank">Nownews</a>的測試結果中，在3月份共有10天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
chinatimes,<a href = "http://www.chinatimes.com" class = "media-link" target = "_blank">中時電子報</a>的測試結果中，在3月份有2天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
setn,<a href = "http://www.setn.com" class = "media-link" target = "_blank">三立新聞網</a>在測試期間，共有8天能正常連線。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
pnn,<a href = "http://pnn.pts.org.tw/main" class = "media-link" target = "_blank">公視新聞議題中心</a>的測試結果顯示都為「資料不足」，無法確定是否被封鎖。經Greatfire.org解釋，「資料不足」是由於DNS（Domain Name System 網域名稱系統）遭防火長城封鎖所造成。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
newslens,<a href = "http://www.thenewslens.com" class = "media-link" target = "_blank">關鍵評論網</a>在測試期間，只有1天能正常連線；且從3/12日以來，顯示為「封鎖」的次數頻繁。<br><p><div class = "subpage_ps">註：單一新聞網站首頁每天新聞量極大，輪播或汰換速度通常十分頻繁，故無法就任何單一時段、單一頁面的內容與「封鎖」進行因果推論。</div>
